epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,79.5931,0.78986,0.42872,0.00309,0.93905,0.98039,0.98365,0.8378,0.68839,0.29291,0.00346,0.0014588,0.0014588,0.0014588
43,81.3325,0.81466,0.38544,0.00296,0.97851,0.89302,0.98362,0.85597,0.62425,0.3143,0.00295,0.0014456,0.0014456,0.0014456
44,83.1266,0.83291,0.41415,0.00304,0.90006,0.96078,0.98386,0.80431,0.7848,0.33831,0.00383,0.0014324,0.0014324,0.0014324
45,84.849,0.8255,0.38571,0.00303,0.95032,0.94118,0.98497,0.82035,0.73919,0.32368,0.00359,0.0014192,0.0014192,0.0014192
46,86.5994,0.85843,0.41593,0.0034,0.91735,0.98039,0.98935,0.73805,0.99826,0.3568,0.00525,0.001406,0.001406,0.001406
47,88.4294,0.82978,0.38651,0.0029,0.89076,0.98039,0.97907,0.80126,0.74753,0.34663,0.00354,0.0013928,0.0013928,0.0013928
48,90.2308,0.79195,0.36692,0.0031,0.98445,0.92157,0.98943,0.8226,0.75622,0.28214,0.00381,0.0013796,0.0013796,0.0013796
49,91.9853,0.76634,0.38148,0.00296,0.9742,1,0.99442,0.84369,0.63855,0.22408,0.00306,0.0013664,0.0013664,0.0013664
50,93.8198,0.81147,0.3679,0.00312,0.97903,0.98039,0.99231,0.81164,0.7794,0.29287,0.00362,0.0013532,0.0013532,0.0013532
51,95.6719,0.8302,0.35239,0.00302,0.98077,0.99982,0.99481,0.7629,0.93826,0.32787,0.00456,0.00134,0.00134,0.00134
52,97.5756,0.77116,0.37183,0.00288,0.94765,0.98039,0.99029,0.82003,0.7377,0.28283,0.00356,0.0013268,0.0013268,0.0013268
53,99.4316,0.81463,0.39908,0.0031,0.97142,0.88235,0.98045,0.8009,0.7464,0.36541,0.00369,0.0013136,0.0013136,0.0013136
54,101.186,0.75297,0.34623,0.00262,0.92071,0.96078,0.98752,0.82745,0.69861,0.31249,0.00334,0.0013004,0.0013004,0.0013004
55,102.979,0.74065,0.3028,0.00272,1,0.99865,0.995,0.84325,0.66099,0.23146,0.00326,0.0012872,0.0012872,0.0012872
56,104.891,0.77657,0.35027,0.00299,0.9441,0.99358,0.99016,0.82831,0.6661,0.29118,0.00318,0.001274,0.001274,0.001274
57,106.901,0.79484,0.33999,0.00295,1,0.93216,0.99188,0.84122,0.66584,0.32401,0.00342,0.0012608,0.0012608,0.0012608
58,108.977,0.77287,0.3387,0.00291,0.99602,1,0.995,0.858,0.62928,0.20539,0.00308,0.0012476,0.0012476,0.0012476
59,110.891,0.7449,0.3233,0.00282,0.9805,1,0.99442,0.83632,0.70084,0.23469,0.00354,0.0012344,0.0012344,0.0012344
60,112.857,0.75167,0.31449,0.00281,0.95373,0.98039,0.98706,0.84922,0.62045,0.27503,0.00296,0.0012212,0.0012212,0.0012212
61,114.785,0.76313,0.35282,0.00296,0.93435,0.96078,0.9865,0.82696,0.71079,0.31141,0.00364,0.001208,0.001208,0.001208
62,116.586,0.79381,0.35486,0.0029,0.87826,1,0.98565,0.80588,0.78432,0.31782,0.00417,0.0011948,0.0011948,0.0011948
63,118.498,0.74384,0.30517,0.00266,1,0.93643,0.99203,0.84456,0.67871,0.25579,0.0035,0.0011816,0.0011816,0.0011816
64,120.288,0.74177,0.32535,0.00282,0.99105,0.92157,0.99041,0.81791,0.71941,0.26861,0.00372,0.0011684,0.0011684,0.0011684
65,122.095,0.75809,0.331,0.00275,0.9779,0.98039,0.99074,0.8471,0.62596,0.23235,0.00317,0.0011552,0.0011552,0.0011552
66,123.912,0.7374,0.35106,0.00264,0.93788,0.98039,0.98933,0.86237,0.56735,0.26694,0.00262,0.001142,0.001142,0.001142
67,125.683,0.71942,0.33197,0.00255,0.96104,0.9674,0.99198,0.8493,0.63345,0.29688,0.00314,0.0011288,0.0011288,0.0011288
68,127.521,0.80931,0.34041,0.0031,0.95872,0.98039,0.99069,0.843,0.66514,0.24513,0.00314,0.0011156,0.0011156,0.0011156
69,129.284,0.71759,0.31358,0.00263,0.96039,0.98039,0.99214,0.83394,0.7016,0.28755,0.00334,0.0011024,0.0011024,0.0011024
70,131.109,0.74299,0.30917,0.00277,0.98187,0.98039,0.99481,0.83501,0.72607,0.23598,0.0036,0.0010892,0.0010892,0.0010892
71,132.933,0.7064,0.30336,0.00248,0.98035,0.97815,0.99442,0.85189,0.65472,0.22843,0.00322,0.001076,0.001076,0.001076
72,134.651,0.74904,0.30427,0.00289,0.98036,0.97872,0.99327,0.85733,0.64016,0.23989,0.00289,0.0010628,0.0010628,0.0010628
73,136.432,0.70704,0.28949,0.0027,0.99208,0.98039,0.99444,0.82093,0.67639,0.23625,0.00316,0.0010496,0.0010496,0.0010496
