epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,499.139,0.23452,0.3661,0.05193,0.9706,0.96078,0.98805,0.84336,0.18826,0.30929,0.05288,0.0014324,0.0014324,0.0014324
45,510.399,0.24235,0.36472,0.05689,1,0.92101,0.97251,0.81109,nan,nan,nan,0.0014192,0.0014192,0.0014192
46,521.537,0.22942,0.33779,0.05019,0.96093,1,0.99173,0.87274,0.15507,0.26552,0.0407,0.001406,0.001406,0.001406
47,532.727,0.24012,0.33325,0.05643,0.99835,1,0.995,0.87581,0.15878,0.2492,0.04227,0.0013928,0.0013928,0.0013928
48,543.939,0.23023,0.34428,0.05196,0.99662,1,0.995,0.84782,0.18502,0.28197,0.04461,0.0013796,0.0013796,0.0013796
49,555.106,0.2201,0.32627,0.05236,0.99748,1,0.995,0.87282,0.15449,0.25101,0.04122,0.0013664,0.0013664,0.0013664
50,566.341,0.23462,0.33122,0.05376,0.97908,1,0.99212,0.87958,0.15589,0.2567,0.04303,0.0013532,0.0013532,0.0013532
51,577.983,0.23066,0.33397,0.05016,0.9789,1,0.99135,0.86003,0.15952,0.27268,0.04627,0.00134,0.00134,0.00134
52,589.11,0.22804,0.35559,0.05115,0.99869,1,0.995,0.84002,0.18519,0.27215,0.04632,0.0013268,0.0013268,0.0013268
53,600.342,0.23296,0.34464,0.05173,0.99611,0.76471,0.765,0.66936,nan,nan,nan,0.0013136,0.0013136,0.0013136
54,611.458,0.23375,0.33031,0.05426,0.99817,1,0.995,0.88354,0.15243,0.24522,0.04016,0.0013004,0.0013004,0.0013004
55,623.127,0.23187,0.30206,0.0582,0.97877,0.96078,0.9618,0.84077,nan,nan,nan,0.0012872,0.0012872,0.0012872
56,634.223,0.2133,0.31487,0.04776,0.99609,1,0.995,0.86281,0.16542,0.26109,0.0451,0.001274,0.001274,0.001274
57,645.397,0.24314,0.32463,0.05653,0.99816,1,0.995,0.86377,0.16173,0.2555,0.04463,0.0012608,0.0012608,0.0012608
58,656.614,0.20805,0.3221,0.04781,0.99809,1,0.995,0.88312,0.15196,0.24495,0.03933,0.0012476,0.0012476,0.0012476
59,667.853,0.22729,0.31734,0.04908,0.97829,1,0.99442,0.894,0.14489,0.24124,0.03662,0.0012344,0.0012344,0.0012344
60,679.509,0.22089,0.31377,0.04644,0.9982,0.98039,0.985,0.88186,nan,nan,nan,0.0012212,0.0012212,0.0012212
61,690.745,0.22875,0.31348,0.05069,0.97937,1,0.98635,0.86468,0.16191,0.26434,0.04321,0.001208,0.001208,0.001208
62,701.91,0.20804,0.29475,0.04839,0.97663,1,0.99365,0.87855,0.14863,0.25636,0.04009,0.0011948,0.0011948,0.0011948
63,713.068,0.23097,0.31958,0.05522,0.99844,1,0.995,0.87139,0.15147,0.24615,0.04157,0.0011816,0.0011816,0.0011816
64,724.291,0.21293,0.29664,0.04995,0.99784,1,0.995,0.86116,0.1666,0.26414,0.04578,0.0011684,0.0011684,0.0011684
65,735.496,0.20468,0.29231,0.05041,1,0.99882,0.995,0.85903,0.16466,0.2797,0.04626,0.0011552,0.0011552,0.0011552
66,746.764,0.23226,0.30689,0.0492,0.97888,1,0.98269,0.86389,0.15361,0.25929,0.04409,0.001142,0.001142,0.001142
67,757.861,0.20541,0.28618,0.0462,0.9986,1,0.995,0.8878,0.14142,0.23357,0.04006,0.0011288,0.0011288,0.0011288
68,769.06,0.2115,0.29829,0.04572,0.99826,1,0.995,0.87438,0.14917,0.24181,0.04185,0.0011156,0.0011156,0.0011156
69,780.329,0.22982,0.3023,0.04955,0.9985,1,0.995,0.87938,0.15054,0.2456,0.04223,0.0011024,0.0011024,0.0011024
70,791.574,0.19754,0.28558,0.04502,0.99873,1,0.995,0.88829,0.14118,0.23224,0.03846,0.0010892,0.0010892,0.0010892
71,802.715,0.20699,0.29683,0.04906,0.97945,1,0.99442,0.86961,0.15394,0.25656,0.03965,0.001076,0.001076,0.001076
72,814.072,0.20166,0.29005,0.04491,0.9987,1,0.995,0.87152,0.1627,0.25681,0.04348,0.0010628,0.0010628,0.0010628
73,825.157,0.19806,0.28869,0.04656,0.97926,1,0.98308,0.85309,0.16786,0.27055,0.0417,0.0010496,0.0010496,0.0010496
74,836.303,0.20055,0.29165,0.0429,0.99846,1,0.995,0.87189,0.16213,0.24975,0.04015,0.0010364,0.0010364,0.0010364
75,847.628,0.19809,0.28823,0.04529,0.99844,1,0.995,0.8967,0.13911,0.22675,0.03601,0.0010232,0.0010232,0.0010232
76,859.27,0.1987,0.29284,0.04778,0.99807,1,0.995,0.89733,0.14481,0.23394,0.03842,0.00101,0.00101,0.00101
77,870.999,0.20044,0.28754,0.04605,0.99839,1,0.995,0.88761,0.14747,0.24094,0.04068,0.0009968,0.0009968,0.0009968
78,882.12,0.17683,0.2734,0.04194,0.9979,1,0.995,0.8953,0.13572,0.22836,0.03476,0.0009836,0.0009836,0.0009836
79,893.308,0.1947,0.27966,0.04221,0.98932,1,0.995,0.88362,0.15638,0.25416,0.04008,0.0009704,0.0009704,0.0009704
80,904.623,0.19934,0.31515,0.04483,0.97595,1,0.995,0.8743,0.15585,0.26328,0.04148,0.0009572,0.0009572,0.0009572
81,915.766,0.21107,0.30954,0.0509,0.95953,1,0.96558,0.85265,0.1424,0.26317,0.03787,0.000944,0.000944,0.000944
82,926.924,0.19527,0.28827,0.04766,0.96097,1,0.99111,0.86637,0.15566,0.27134,0.04013,0.0009308,0.0009308,0.0009308
83,938.289,0.18881,0.28165,0.04378,0.99849,1,0.995,0.89575,0.1341,0.22664,0.035,0.0009176,0.0009176,0.0009176
84,949.468,0.18578,0.27965,0.0411,0.96082,1,0.97962,0.87424,0.13902,0.25721,0.03555,0.0009044,0.0009044,0.0009044
85,960.75,0.19556,0.28722,0.04261,0.99778,1,0.995,0.88517,0.152,0.24484,0.03807,0.0008912,0.0008912,0.0008912
86,971.89,0.18814,0.28272,0.04201,0.97902,1,0.97885,0.87696,0.13104,0.23896,0.03486,0.000878,0.000878,0.000878
87,983.05,0.20298,0.28361,0.04507,0.97944,1,0.98308,0.8844,0.13563,0.2428,0.03572,0.0008648,0.0008648,0.0008648
88,994.289,0.18458,0.26731,0.04141,0.99859,1,0.995,0.88714,0.14624,0.2355,0.03553,0.0008516,0.0008516,0.0008516
89,1005.5,0.18307,0.27215,0.04286,0.97926,1,0.97846,0.87465,0.13644,0.24165,0.03601,0.0008384,0.0008384,0.0008384
90,1016.71,0.1925,0.27892,0.04347,0.99,1,0.995,0.89385,0.1418,0.2361,0.03536,0.0008252,0.0008252,0.0008252
91,1027.9,0.18642,0.27179,0.039,0.99848,1,0.995,0.8871,0.14641,0.23467,0.03687,0.000812,0.000812,0.000812
92,1039.08,0.18193,0.27783,0.0423,0.99879,1,0.995,0.88301,0.14965,0.23907,0.0369,0.0007988,0.0007988,0.0007988
93,1050.22,0.19225,0.29226,0.04337,0.98,1,0.995,0.90112,0.14019,0.23973,0.03503,0.0007856,0.0007856,0.0007856
94,1061.93,0.18429,0.28055,0.04153,0.99786,1,0.995,0.89742,0.14007,0.23077,0.03616,0.0007724,0.0007724,0.0007724
95,1073.13,0.17757,0.26737,0.03962,0.99877,1,0.995,0.88476,0.14899,0.24219,0.03761,0.0007592,0.0007592,0.0007592
96,1084.44,0.18792,0.27614,0.04286,0.9979,1,0.995,0.88081,0.14779,0.23648,0.03765,0.000746,0.000746,0.000746
97,1095.67,0.18879,0.27858,0.03927,0.99774,1,0.995,0.88726,0.14713,0.23716,0.0364,0.0007328,0.0007328,0.0007328
98,1106.72,0.17593,0.26257,0.04206,0.99826,1,0.995,0.90306,0.14092,0.23009,0.03626,0.0007196,0.0007196,0.0007196
99,1118.37,0.19162,0.27239,0.04148,0.99735,1,0.995,0.8926,0.14124,0.23496,0.03701,0.0007064,0.0007064,0.0007064
100,1129.56,0.18034,0.27645,0.03848,0.99761,1,0.995,0.90755,0.13036,0.22281,0.03331,0.0006932,0.0006932,0.0006932
101,1141.19,0.1774,0.26257,0.04137,0.99875,1,0.995,0.90668,0.13083,0.22189,0.03409,0.00068,0.00068,0.00068
102,1152.6,0.17704,0.25722,0.03908,0.99833,1,0.995,0.8996,0.13571,0.2274,0.03663,0.0006668,0.0006668,0.0006668
103,1163.77,0.17836,0.26182,0.04204,0.99882,1,0.995,0.89457,0.14512,0.23221,0.03643,0.0006536,0.0006536,0.0006536
104,1174.85,0.17187,0.24889,0.03824,0.99884,1,0.995,0.90951,0.13557,0.22132,0.03325,0.0006404,0.0006404,0.0006404
