epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,167.675,0.76006,0.40557,0.00276,0.93599,1,0.99253,0.83866,0.69395,0.27423,0.00292,0.0014588,0.0014588,0.0014588
43,171.476,0.70414,0.37935,0.00262,0.97945,0.98039,0.99462,0.87407,0.62487,0.26928,0.00258,0.0014456,0.0014456,0.0014456
44,175.295,0.72266,0.38805,0.00264,0.97834,0.98039,0.99262,0.87732,0.64595,0.2525,0.0026,0.0014324,0.0014324,0.0014324
45,179.163,0.70413,0.37695,0.00265,0.97716,0.96078,0.98962,0.85195,0.71915,0.26119,0.00309,0.0014192,0.0014192,0.0014192
46,183.057,0.70044,0.40108,0.00265,0.94461,1,0.99227,0.8441,0.68838,0.23419,0.00299,0.001406,0.001406,0.001406
47,186.973,0.7612,0.4125,0.00296,0.97568,0.96078,0.9906,0.86518,0.66688,0.29953,0.00296,0.0013928,0.0013928,0.0013928
48,190.763,0.70318,0.38017,0.00245,1,0.97868,0.99395,0.85793,0.77764,0.24984,0.00352,0.0013796,0.0013796,0.0013796
49,194.741,0.69191,0.36137,0.00271,0.94966,0.98039,0.9925,0.88253,0.65633,0.27554,0.00281,0.0013664,0.0013664,0.0013664
50,198.66,0.70294,0.33151,0.00255,1,0.92006,0.99034,0.84235,0.69305,0.27325,0.00293,0.0013532,0.0013532,0.0013532
51,202.495,0.74959,0.35742,0.0026,0.99362,0.98039,0.99481,0.86072,0.67268,0.25962,0.0029,0.00134,0.00134,0.00134
52,206.358,0.67431,0.36666,0.00249,0.97694,0.94118,0.99067,0.84572,0.80425,0.4127,0.00345,0.0013268,0.0013268,0.0013268
53,210.144,0.66512,0.32171,0.00249,0.97906,0.91681,0.988,0.88528,0.63648,0.39429,0.00268,0.0013136,0.0013136,0.0013136
54,214.206,0.7154,0.34249,0.00275,1,0.93872,0.99016,0.8986,0.66492,0.23846,0.00264,0.0013004,0.0013004,0.0013004
55,218.136,0.65679,0.34704,0.00256,0.96212,0.99611,0.99267,0.89359,0.6564,0.34204,0.00262,0.0012872,0.0012872,0.0012872
