epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,1070.13,0.22967,0.34097,0.05,0.9739,0.99965,0.99083,0.85805,0.17436,0.28315,0.05416,0.0014456,0.0014456,0.0014456
44,1094.87,0.22988,0.33333,0.05277,0.98875,1,0.99093,0.84902,0.17113,0.27646,0.05499,0.0014324,0.0014324,0.0014324
45,1119.54,0.23237,0.3364,0.05397,0.99881,1,0.995,0.86112,0.16064,0.25319,0.05141,0.0014192,0.0014192,0.0014192
46,1144.24,0.2039,0.31953,0.04681,0.9885,1,0.99181,0.88978,0.14027,0.25478,0.04331,0.001406,0.001406,0.001406
47,1168.78,0.21843,0.34858,0.0493,0.99389,1,0.995,0.88079,0.1465,0.25982,0.04482,0.0013928,0.0013928,0.0013928
48,1193.58,0.20015,0.31714,0.04304,0.98144,1,0.9941,0.86442,0.15504,0.25853,0.04792,0.0013796,0.0013796,0.0013796
49,1218.29,0.21964,0.31932,0.04936,0.99069,1,0.995,0.88298,0.15751,0.25607,0.04785,0.0013664,0.0013664,0.0013664
50,1243.01,0.22404,0.32912,0.05343,0.99917,1,0.995,0.87767,0.14661,0.24337,0.04587,0.0013532,0.0013532,0.0013532
51,1267.56,0.22878,0.31664,0.05105,0.96427,1,0.96086,0.84359,0.1516,0.26578,0.04758,0.00134,0.00134,0.00134
52,1292.21,0.21121,0.3151,0.04686,0.9996,1,0.995,0.8873,0.14181,0.24039,0.04368,0.0013268,0.0013268,0.0013268
53,1316.69,0.22022,0.33043,0.05034,0.99905,1,0.995,0.89016,0.14432,0.23994,0.04566,0.0013136,0.0013136,0.0013136
54,1341.3,0.20228,0.32307,0.04528,0.99891,1,0.995,0.87038,0.15654,0.25871,0.05223,0.0013004,0.0013004,0.0013004
55,1365.88,0.22096,0.33442,0.05136,0.99684,1,0.995,0.88869,0.1401,0.23418,0.04609,0.0012872,0.0012872,0.0012872
56,1390.41,0.21873,0.34692,0.04974,0.96382,1,0.98138,0.84419,0.16795,0.28297,0.05345,0.001274,0.001274,0.001274
57,1415.05,0.22019,0.36297,0.04827,1,0.96395,0.97117,0.85837,0.16715,0.32168,0.05468,0.0012608,0.0012608,0.0012608
58,1439.58,0.21187,0.31708,0.04829,0.99704,0.99107,0.995,0.87141,0.15184,0.26914,0.04779,0.0012476,0.0012476,0.0012476
59,1464.17,0.20459,0.30946,0.04637,0.98932,1,0.99491,0.89661,0.13506,0.23393,0.04238,0.0012344,0.0012344,0.0012344
60,1489.17,0.22348,0.32605,0.04838,0.98958,1,0.99482,0.89671,0.13331,0.2323,0.04263,0.0012212,0.0012212,0.0012212
61,1514.02,0.21271,0.31924,0.04733,0.99012,0.99107,0.99223,0.88944,0.14063,0.25278,0.04397,0.001208,0.001208,0.001208
