epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,127.927,0.74599,0.31143,0.00277,0.98222,0.98649,0.99464,0.86652,0.59607,0.23795,0.00314,0.0014588,0.0014588,0.0014588
43,130.852,0.77033,0.31106,0.00277,0.99082,0.96321,0.99307,0.80342,0.7866,0.26288,0.00448,0.0014456,0.0014456,0.0014456
44,133.689,0.75901,0.31265,0.00275,0.96599,0.98214,0.99245,0.85275,0.63178,0.24199,0.00316,0.0014324,0.0014324,0.0014324
45,136.566,0.77166,0.30963,0.00284,0.98704,0.98214,0.99455,0.85466,0.61442,0.23332,0.00319,0.0014192,0.0014192,0.0014192
46,139.791,0.72533,0.29282,0.00266,0.96614,0.96429,0.99245,0.79672,0.78257,0.30561,0.00433,0.001406,0.001406,0.001406
47,142.647,0.72397,0.28228,0.00254,0.99097,0.97933,0.99415,0.79707,0.81753,0.26095,0.00476,0.0013928,0.0013928,0.0013928
48,145.469,0.73846,0.27222,0.0027,0.95367,0.98214,0.99116,0.81636,0.72779,0.27981,0.00401,0.0013796,0.0013796,0.0013796
49,148.234,0.72261,0.28481,0.00254,0.97367,0.99045,0.99411,0.84413,0.6446,0.21117,0.00328,0.0013664,0.0013664,0.0013664
50,151.159,0.6854,0.2709,0.00241,0.99081,0.96273,0.992,0.84725,0.59294,0.23608,0.00292,0.0013532,0.0013532,0.0013532
51,154,0.72373,0.27914,0.00256,0.96511,0.98804,0.99411,0.85938,0.57391,0.20002,0.00279,0.00134,0.00134,0.00134
52,156.801,0.7234,0.27079,0.00263,0.95685,0.98992,0.99332,0.86705,0.60978,0.23037,0.00304,0.0013268,0.0013268,0.0013268
53,159.64,0.7262,0.28301,0.00261,0.95616,0.97375,0.99284,0.85822,0.57546,0.22726,0.00293,0.0013136,0.0013136,0.0013136
54,162.617,0.74148,0.27799,0.00272,1,0.97246,0.99351,0.85007,0.59768,0.21317,0.00304,0.0013004,0.0013004,0.0013004
55,165.456,0.75682,0.27443,0.00274,1,0.96325,0.99447,0.87006,0.58505,0.21864,0.0029,0.0012872,0.0012872,0.0012872
56,168.284,0.70087,0.26976,0.00245,0.97345,0.98214,0.99413,0.84728,0.62837,0.22146,0.00321,0.001274,0.001274,0.001274
57,171.192,0.69072,0.24992,0.00234,0.98984,0.99107,0.99473,0.85803,0.60221,0.20155,0.00299,0.0012608,0.0012608,0.0012608
58,174.127,0.7022,0.2644,0.00242,0.99098,0.98135,0.99447,0.87624,0.52894,0.19025,0.00259,0.0012476,0.0012476,0.0012476
59,177.051,0.69341,0.26279,0.00251,0.98117,0.97321,0.99267,0.87117,0.54075,0.22227,0.0026,0.0012344,0.0012344,0.0012344
60,179.836,0.73711,0.26993,0.00259,0.99114,0.99878,0.995,0.85787,0.58205,0.18496,0.00289,0.0012212,0.0012212,0.0012212
61,182.61,0.68149,0.24887,0.00254,0.98892,0.98214,0.99464,0.8432,0.62632,0.19247,0.00328,0.001208,0.001208,0.001208
62,185.575,0.67493,0.2599,0.00232,0.97735,0.97321,0.99294,0.81045,0.69995,0.23636,0.00381,0.0011948,0.0011948,0.0011948
63,188.46,0.69617,0.26282,0.00245,0.99103,0.98695,0.99491,0.82779,0.66394,0.21543,0.00366,0.0011816,0.0011816,0.0011816
64,191.294,0.70314,0.26528,0.00244,0.98242,0.99775,0.99491,0.8424,0.6963,0.225,0.00381,0.0011684,0.0011684,0.0011684
65,194.12,0.67497,0.24979,0.00238,1,0.98117,0.99474,0.89136,0.50339,0.16608,0.00238,0.0011552,0.0011552,0.0011552
66,196.943,0.65317,0.24888,0.00224,0.96549,0.99928,0.99376,0.87775,0.51445,0.17978,0.00245,0.001142,0.001142,0.001142
67,199.768,0.6486,0.25828,0.00236,1,0.99992,0.995,0.85733,0.60603,0.17633,0.0031,0.0011288,0.0011288,0.0011288
68,202.647,0.68951,0.25271,0.00252,0.94603,0.99107,0.99075,0.84149,0.62725,0.26558,0.00324,0.0011156,0.0011156,0.0011156
69,205.501,0.67378,0.25098,0.00246,0.97359,0.98761,0.99456,0.86521,0.57398,0.19293,0.00298,0.0011024,0.0011024,0.0011024
70,208.353,0.68448,0.25575,0.00244,0.94108,0.99826,0.9923,0.86643,0.56902,0.20425,0.00276,0.0010892,0.0010892,0.0010892
71,211.172,0.67232,0.24661,0.00238,0.97173,0.99107,0.99383,0.85985,0.5976,0.20619,0.00314,0.001076,0.001076,0.001076
72,213.957,0.64599,0.24546,0.00229,0.95645,0.98058,0.992,0.87561,0.54652,0.21757,0.00266,0.0010628,0.0010628,0.0010628
73,216.796,0.66837,0.25909,0.00248,1,0.979,0.99474,0.85981,0.57279,0.196,0.00285,0.0010496,0.0010496,0.0010496
74,219.666,0.67394,0.24495,0.00237,0.97167,1,0.99465,0.87909,0.55947,0.17909,0.00289,0.0010364,0.0010364,0.0010364
75,222.56,0.65004,0.2451,0.00227,0.98244,0.9991,0.99438,0.8627,0.59696,0.18778,0.00279,0.0010232,0.0010232,0.0010232
76,225.377,0.65165,0.24233,0.00228,0.98222,0.98638,0.99437,0.86447,0.59071,0.19759,0.003,0.00101,0.00101,0.00101
77,228.233,0.66804,0.24112,0.00233,0.95646,0.98065,0.99239,0.8441,0.65966,0.24473,0.00356,0.0009968,0.0009968,0.0009968
78,231.02,0.65944,0.24516,0.00227,0.98097,1,0.99429,0.88308,0.51636,0.1795,0.00251,0.0009836,0.0009836,0.0009836
79,233.982,0.64134,0.23646,0.00223,0.9905,1,0.995,0.89276,0.52283,0.15924,0.00257,0.0009704,0.0009704,0.0009704
80,236.888,0.64355,0.23182,0.00222,0.99977,0.99107,0.995,0.87674,0.55204,0.17013,0.00281,0.0009572,0.0009572,0.0009572
81,239.661,0.63022,0.23646,0.00231,1,0.99843,0.995,0.8585,0.59335,0.16933,0.00298,0.000944,0.000944,0.000944
82,242.513,0.63138,0.23174,0.00225,0.98242,0.99816,0.99429,0.86809,0.55292,0.18479,0.00277,0.0009308,0.0009308,0.0009308
83,245.364,0.64322,0.24078,0.00216,0.99669,0.98214,0.99426,0.8745,0.51985,0.18658,0.00248,0.0009176,0.0009176,0.0009176
84,248.224,0.63529,0.23206,0.00227,0.98923,1,0.99491,0.8734,0.5747,0.17318,0.00311,0.0009044,0.0009044,0.0009044
85,251.048,0.66205,0.23088,0.00225,0.9888,0.99107,0.99438,0.87243,0.52926,0.17395,0.00259,0.0008912,0.0008912,0.0008912
86,253.858,0.61191,0.22421,0.00209,0.99734,0.97321,0.99448,0.88092,0.53216,0.17368,0.00264,0.000878,0.000878,0.000878
87,256.753,0.60818,0.22094,0.00214,1,0.9797,0.99474,0.88327,0.51171,0.17241,0.00252,0.0008648,0.0008648,0.0008648
88,259.707,0.64544,0.22971,0.00226,0.97213,1,0.99411,0.88741,0.50459,0.16387,0.00244,0.0008516,0.0008516,0.0008516
89,262.547,0.62132,0.21668,0.00223,1,0.99633,0.995,0.88023,0.53201,0.17502,0.00266,0.0008384,0.0008384,0.0008384
90,265.491,0.62318,0.22869,0.00219,1,0.97983,0.99466,0.85275,0.61161,0.1937,0.00314,0.0008252,0.0008252,0.0008252
